id,name,qoh,qa,qoo,avail,limit,price
063961,Cheese Hot Dog w/ Jalapeno,59.0000,0.0000,0.0000,59.0000,0,1.60
06534,Blueberry Yogurt,22.0000,0.0000,0.0000,22.0000,0,0.80
06558,Turkey & Cheddar Lunchables,41.0000,0.0000,0.0000,41.0000,0,1.12
065610,Pepperoni Pizza Lunchables,14.0000,0.0000,0.0000,14.0000,0,0.96
06730,Chunck light tuna n/water,53.0000,53.0000,0.0000,0.0000,5,3.04
06924,Lunchables Smores Snack Duo,15.0000,0.0000,0.0000,15.0000,0,0.48
069590,Thick Cut Bacon,5.0000,5.0000,0.0000,0.0000,0,0.64
07083,Mini Hotdogs,38.0000,0.0000,0.0000,38.0000,0,1.44
07084,Chicken Sliders,130.0000,0.0000,0.0000,130.0000,0,1.44
071011,Flavor fresh ketchup,7.0000,0.0000,0.0000,7.0000,0,0.00
071441,Smoked Ham,2.0000,0.0000,0.0000,2.0000,0,1.44
07145,Honey Ham,0.0000,1.0000,0.0000,-1.0000,0,1.44
07179,Chopped Ham w/ Water,17.0000,0.0000,0.0000,17.0000,0,0.80
073035,French dressing fat free,21.0000,0.0000,0.0000,21.0000,0,0.80
073277,Batth dehydrator pears,7.0000,0.0000,0.0000,7.0000,0,4.16
07338,Organic Butternut Squash w App,91.0000,0.0000,0.0000,91.0000,0,0.64
07377,Organic Vegetable Brown Rice,49.0000,0.0000,0.0000,49.0000,0,0.64
074041,Gillete M3 Power Blades,20.0000,0.0000,0.0000,20.0000,0,0.80
084060,Power Bar Lemon Energy Blast,8.0000,0.0000,0.0000,8.0000,0,1.92
090010,Roasted Garlic Marinade,3.0000,0.0000,0.0000,3.0000,0,0.00
09119,Concord grape jelly,99.0000,99.0000,0.0000,0.0000,0,3.20
095501,Cheese Puffs,11.0000,0.0000,0.0000,11.0000,0,1.12
100006,Bread Bowls,3.0000,0.0000,0.0000,3.0000,0,0.00
100055,White Corn Chips,1.0000,0.0000,0.0000,1.0000,0,0.00
100190,Pineapple Cream Cheese Pie,508.0000,0.0000,0.0000,508.0000,0,1.92
100241,Soy Sauce,21.0000,0.0000,0.0000,21.0000,0,1.28
100450,Fat Free Skim Milk,10.0000,0.0000,0.0000,10.0000,0,6.56
100701,Peanut Sesame Noodle Bowls,4.0000,0.0000,0.0000,4.0000,0,0.00
10088,Mini Saltine Crackers,-224.0000,108.0000,0.0000,-332.0000,0,1.12
10098,Variety pk veg/fruit 1st food,190.0000,29.0000,0.0000,161.0000,0,0.64
101005,Organic Apple Juice,1.0000,0.0000,0.0000,1.0000,0,0.00
101501,Fig Bars,99.0000,0.0000,0.0000,99.0000,0,0.80
10179,Pepis,2.0000,0.0000,0.0000,2.0000,0,4.00
10180,Diet pepis,1.0000,0.0000,0.0000,1.0000,0,4.00
102101,Ham & Cheese Breadsticks,108.0000,0.0000,0.0000,108.0000,0,0.80
102410,Chocolate Covered Peanuts,1.0000,1.0000,0.0000,0.0000,0,0.80
10242,Rice Krispies Treats Mini's,12.0000,0.0000,0.0000,12.0000,0,1.28
102691,Candy Bar Variety Pack,36.0000,0.0000,0.0000,36.0000,0,0.00
103084,Strawberry probiotic smooth lf,26.0000,0.0000,0.0000,26.0000,0,1.28
103151,Gatorade Glacier Cherry Frost,42.0000,42.0000,0.0000,0.0000,0,1.28
106961,3 Cheese Tomato Sauce,39.0000,39.0000,0.0000,0.0000,0,4.16
11010,Seaweed Sesame Snacks,4.0000,0.0000,0.0000,4.0000,0,0.00
11120,Mini Criss Cut Fries,1.0000,1.0000,0.0000,0.0000,0,4.16
112521,Strawberry Pastry Crisp,41.0000,41.0000,0.0000,0.0000,0,0.64
114440,Beef stew,53.0000,53.0000,0.0000,0.0000,3,2.88
11566,Fruit Roll Ups Hot Colors,6.0000,0.0000,0.0000,6.0000,0,0.64
12127,Cream Crackers,2.0000,0.0000,0.0000,2.0000,0,0.00
123181,Mozzarella cheese,14.0000,0.0000,0.0000,14.0000,0,0.80
12349,Garden Vegetable Cream cheese,23.0000,0.0000,0.0000,23.0000,0,0.48
12636,White Cheddar Cheez-it,1.0000,1.0000,0.0000,0.0000,0,0.64
1269,Tater Tots,503.0000,114.0000,0.0000,389.0000,0,4.96
12766,Coffee Mate French Vanilla,7.0000,0.0000,0.0000,7.0000,0,4.80
13014,Non-Dairy Creamer,28.0000,0.0000,0.0000,28.0000,0,2.40
133151,Gravy Mix,10.0000,1.0000,0.0000,9.0000,0,169.28
13517,Coconut Yogurt,30.0000,0.0000,0.0000,30.0000,0,0.80
138041,Huggies Diapers Size 4,3.0000,0.0000,0.0000,3.0000,0,1.92
14111,Grilled chi & rst veg dinners,84.0000,0.0000,0.0000,84.0000,0,0.00
